code,node,hand
2,2t9re,RH
3,2t9re,LH
4,2t9re,LH
5,2t9re,RH
Hancock_Participant6_11042017,2t9re,RH
Hancock_Participant_7_11042017,2t9re,RH
Hancock_Participant_11042017,2t9re,RH
Hancock_Participant9_11042017,2t9re,RH
Hancock_Participant10_12042017,2t9re,LH
Hancock_Participant11_12042017,2t9re,RH
Hancock_Participant12_12042017,2t9re,RH
Hancock_Participant13_12042017,2t9re,RH
Hancock_Participant14_13042017,2t9re,RH
Hancock_Participant15_14042017,2t9re,RH
Hancock_Participant16_14042017,2t9re,RH
Hancock_Participant17_17042017,2t9re,RH
Hancock_Participant18_18042017,2t9re,RH
Hancock_Participant19_18042017,2t9re,RH
Hancock_Participant20_18042017,2t9re,RH
Hancock_Participant21_19042017,2t9re,RH
Hancock_Participant22_19042017,2t9re,RH
Hancock_Participant23_19042017,2t9re,RH
Hancock_Participant24_19042017,2t9re,RH
Hancock_Participant25_20042017,2t9re,RH
Hancock_Participant26_20042017,2t9re,RH
Hancock_Participant27_20042017,2t9re,RH
Hancock_Participant28_20042017,2t9re,LH
Hancock_Participant29_21042017,2t9re,RH
Hancock_Participant30_24042017,2t9re,RH
Hancock_Participant31_24042017,2t9re,RH
Hancock_Participant32_24042017,2t9re,RH
Hancock_Participant38_03052017,2t9re,RH
Hancock_Participant39_04052017,2t9re,RH
Hancock_Participant40_04052017,2t9re,RH
Hancock_Participant41_04052017,2t9re,RH
Hancock_Participant42_04052017,2t9re,RH
Hancock_Participant43_05052017,2t9re,RH
Hancock_Participant44_05052017,2t9re,RH
Hancock_Participant45_05052017,2t9re,RH
Hancock_Participant46_05052017,2t9re,RH
Hancock_Participant47_05052017,2t9re,RH
Hancock_Participant48_08052017,2t9re,RH
Hancock_Participant49_08052017,2t9re,RH
Hancock_Participant50_08052017,2t9re,RH
Hancock_Participant51_08052017,2t9re,LH
Hancock_Participant52_08052017,2t9re,RH
Hancock_Participant53_09052017,2t9re,LH
Hancock_Participant54_09052017,2t9re,RH
Hancock_Participant55_09052017,2t9re,RH
Hancock_Participant56_10052017,2t9re,RH
Hancock_Participant57_10052017,2t9re,RH
Hancock_Participant58_10052017,2t9re,RH
Hancock_Participant59_10052017,2t9re,RH
Hancock_Participant60_11052017,2t9re,RH
Hancock_Participant61_11052017,2t9re,RH
Hancock_Participant62_11052017,2t9re,RH
Hancock_Participant63_11052017,2t9re,RH
Hancock_Participant64_11052017,2t9re,RH
Hancock_Participant65_12052017,2t9re,RH
Hancock_Participant66_12052017,2t9re,RH
Hancock_Participant67_12052017,2t9re,RH
COLLING_S001_170313,3s4uh,RH
COLLING_S002_170313,3s4uh,RH
COLLING_S004_170313,3s4uh,RH
COLLING_S005_170314,3s4uh,RH
COLLING_S006_170314,3s4uh,RH
COLLING_S007_170314,3s4uh,RH
COLLING_S008_170314,3s4uh,RH
COLLING_S009_170314,3s4uh,RH
COLLING_S011_170320,3s4uh,RH
COLLING_S012_170320,3s4uh,RH
COLLING_S015_170321,3s4uh,RH
COLLING_S016_170321,3s4uh,RH
COLLING_S017_170321,3s4uh,LH
COLLING_S018_170322,3s4uh,RH
COLLING_S019_170322,3s4uh,LH
COLLING_S020_170322,3s4uh,RH
COLLING_S021_170322,3s4uh,RH
COLLING_S022_170322,3s4uh,RH
COLLING_S023_170323,3s4uh,RH
COLLING_S024_170324,3s4uh,RH
COLLING_S025_170324,3s4uh,RH
COLLING_S026_170325,3s4uh,RH
COLLING_S027_170327,3s4uh,RH
COLLING_S028_170327,3s4uh,RH
COLLING_S029_170328,3s4uh,RH
COLLING_S030_170403,3s4uh,RH
COLLING_S031_170403,3s4uh,RH
COLLING_S032_170403,3s4uh,RH
COLLING_S033_170403,3s4uh,RH
COLLING_S034_170403,3s4uh,RH
COLLING_S035_170403,3s4uh,RH
COLLING_S036_170404,3s4uh,RH
COLLING_S037_170410,3s4uh,RH
COLLING_S038_170410,3s4uh,LH
COLLING_S039_170412,3s4uh,RH
COLLING_S040_170413,3s4uh,RH
COLLING_S041_170413,3s4uh,RH
COLLING_S042_170413,3s4uh,RH
COLLING_S043_170424,3s4uh,RH
COLLING_S044_170424,3s4uh,RH
COLLING_S045_170425,3s4uh,RH
COLLING_S046_170508,3s4uh,RH
COLLING_S047_170508,3s4uh,LH
COLLING_S048_170508,3s4uh,RH
COLLING_S049_170509,3s4uh,RH
COLLING_S050_170515,3s4uh,RH
COLLING_S051_170518,3s4uh,RH
COLLING_S052_170519,3s4uh,LH
COLLING_S053_170523,3s4uh,RH
COLLING_S054_170526,3s4uh,RH
COLLING_S055_170531,3s4uh,RH
COLLING_S056_170606,3s4uh,RH
COLLING_S057_170606,3s4uh,RH
COLLING_S058_170606,3s4uh,RH
COLLING_S059_170608,3s4uh,RH
COLLING_S060_170613,3s4uh,RH
COLLING_S061_170616,3s4uh,RH
COLLING_S062_170616,3s4uh,RH
COLLING_S063_170619,3s4uh,LH
COLLING_S064_170621,3s4uh,RH
COLLING_S065_170622,3s4uh,RH
COLLING_S066_170622,3s4uh,RH
COLLING_S067_170622,3s4uh,RH
COLLING_S068_170623,3s4uh,RH
COLLING_S069_170626,3s4uh,RH
COLLING_S070_170628,3s4uh,RH
COLLING_S071_170705,3s4uh,LH
COLLING_S072_170705,3s4uh,RH
Bryce_S1_170324,5hgk4,RH
Bryce_S10_170510,5hgk4,RH
Bryce_S11_170510,5hgk4,RH
Bryce_S12_170510,5hgk4,RH
Bryce_S13_170511,5hgk4,RH
Bryce_S14_170512,5hgk4,LH
Bryce_S15_170512,5hgk4,RH
Bryce_S16_170512,5hgk4,RH
Bryce_S17_170512,5hgk4,RH
Bryce_S18_170512,5hgk4,RH
Bryce_S19_170515,5hgk4,RH
Bryce_S2_170424,5hgk4,RH
Bryce_S20_170515,5hgk4,RH
Bryce_S21_170515,5hgk4,RH
Bryce_S22_170517,5hgk4,LH
Bryce_S23_170516,5hgk4,RH
Bryce_S24_170516,5hgk4,RH
Bryce_S25_170516,5hgk4,RH
Bryce_S26_170516,5hgk4,RH
Bryce_S27_170516,5hgk4,RH
Bryce_S28_170516,5hgk4,RH
Bryce_S29_170517,5hgk4,RH
Bryce_S3_170508,5hgk4,RH
Bryce_S30_170517,5hgk4,RH
Bryce_S31_170517,5hgk4,RH
Bryce_S32_170517,5hgk4,RH
Bryce_S33_170518,5hgk4,RH
Bryce_S34_170519,5hgk4,RH
Bryce_S35_170519,5hgk4,RH
Bryce_S36_170519,5hgk4,RH
Bryce_S37_170519,5hgk4,RH
Bryce_S38_170519,5hgk4,RH
Bryce_S39_170522,5hgk4,RH
Bryce_S4_170508,5hgk4,RH
Bryce_S40_170522,5hgk4,RH
Bryce_S41_170522,5hgk4,RH
Bryce_S42_170522,5hgk4,RH
Bryce_S43_170522,5hgk4,RH
Bryce_S44_170523,5hgk4,RH
Bryce_S45_170523,5hgk4,RH
Bryce_S46_170523,5hgk4,RH
Bryce_S47_170523,5hgk4,RH
Bryce_S48_170524,5hgk4,RH
Bryce_S49_170524,5hgk4,RH
Bryce_S5_170509,5hgk4,LH
Bryce_S50_170524,5hgk4,RH
Bryce_S51_170529,5hgk4,RH
Bryce_S52_170529,5hgk4,RH
Bryce_S53_170530,5hgk4,RH
Bryce_S54_170530,5hgk4,RH
Bryce_S55_170531,5hgk4,RH
Bryce_S56_170531,5hgk4,RH
