response,item,code,node
3,1,2,2t9re
4,2,2,2t9re
2,3,2,2t9re
5,4,2,2t9re
4,5,2,2t9re
1,6,2,2t9re
2,7,2,2t9re
4,8,2,2t9re
2,9,2,2t9re
2,1,3,2t9re
5,2,3,2t9re
3,3,3,2t9re
5,4,3,2t9re
5,5,3,2t9re
3,6,3,2t9re
3,7,3,2t9re
5,8,3,2t9re
5,9,3,2t9re
1,1,4,2t9re
4,2,4,2t9re
2,3,4,2t9re
5,4,4,2t9re
3,5,4,2t9re
1,6,4,2t9re
1,7,4,2t9re
4,8,4,2t9re
1,9,4,2t9re
3,1,5,2t9re
2,2,5,2t9re
3,3,5,2t9re
3,4,5,2t9re
4,5,5,2t9re
2,6,5,2t9re
3,7,5,2t9re
5,8,5,2t9re
3,9,5,2t9re
1,1,Hancock_Participant6_11042017,2t9re
4,2,Hancock_Participant6_11042017,2t9re
2,3,Hancock_Participant6_11042017,2t9re
4,4,Hancock_Participant6_11042017,2t9re
4,5,Hancock_Participant6_11042017,2t9re
2,6,Hancock_Participant6_11042017,2t9re
2,7,Hancock_Participant6_11042017,2t9re
3,8,Hancock_Participant6_11042017,2t9re
2,9,Hancock_Participant6_11042017,2t9re
3,1,Hancock_Participant_7_11042017,2t9re
4,2,Hancock_Participant_7_11042017,2t9re
3,3,Hancock_Participant_7_11042017,2t9re
5,4,Hancock_Participant_7_11042017,2t9re
4,5,Hancock_Participant_7_11042017,2t9re
2,6,Hancock_Participant_7_11042017,2t9re
2,7,Hancock_Participant_7_11042017,2t9re
4,8,Hancock_Participant_7_11042017,2t9re
3,9,Hancock_Participant_7_11042017,2t9re
2,1,Hancock_Participant_11042017,2t9re
4,2,Hancock_Participant_11042017,2t9re
2,3,Hancock_Participant_11042017,2t9re
4,4,Hancock_Participant_11042017,2t9re
4,5,Hancock_Participant_11042017,2t9re
4,6,Hancock_Participant_11042017,2t9re
4,7,Hancock_Participant_11042017,2t9re
4,8,Hancock_Participant_11042017,2t9re
3,9,Hancock_Participant_11042017,2t9re
2,1,Hancock_Participant9_11042017,2t9re
3,2,Hancock_Participant9_11042017,2t9re
2,3,Hancock_Participant9_11042017,2t9re
3,4,Hancock_Participant9_11042017,2t9re
4,5,Hancock_Participant9_11042017,2t9re
2,6,Hancock_Participant9_11042017,2t9re
1,7,Hancock_Participant9_11042017,2t9re
2,8,Hancock_Participant9_11042017,2t9re
2,9,Hancock_Participant9_11042017,2t9re
1,1,Hancock_Participant10_12042017,2t9re
4,2,Hancock_Participant10_12042017,2t9re
1,3,Hancock_Participant10_12042017,2t9re
3,4,Hancock_Participant10_12042017,2t9re
4,5,Hancock_Participant10_12042017,2t9re
1,6,Hancock_Participant10_12042017,2t9re
1,7,Hancock_Participant10_12042017,2t9re
2,8,Hancock_Participant10_12042017,2t9re
1,9,Hancock_Participant10_12042017,2t9re
3,1,Hancock_Participant11_12042017,2t9re
5,2,Hancock_Participant11_12042017,2t9re
5,3,Hancock_Participant11_12042017,2t9re
5,4,Hancock_Participant11_12042017,2t9re
5,5,Hancock_Participant11_12042017,2t9re
5,6,Hancock_Participant11_12042017,2t9re
4,7,Hancock_Participant11_12042017,2t9re
5,8,Hancock_Participant11_12042017,2t9re
3,9,Hancock_Participant11_12042017,2t9re
2,1,Hancock_Participant12_12042017,2t9re
5,2,Hancock_Participant12_12042017,2t9re
4,3,Hancock_Participant12_12042017,2t9re
5,4,Hancock_Participant12_12042017,2t9re
4,5,Hancock_Participant12_12042017,2t9re
3,6,Hancock_Participant12_12042017,2t9re
3,7,Hancock_Participant12_12042017,2t9re
5,8,Hancock_Participant12_12042017,2t9re
2,9,Hancock_Participant12_12042017,2t9re
4,1,Hancock_Participant13_12042017,2t9re
4,2,Hancock_Participant13_12042017,2t9re
2,3,Hancock_Participant13_12042017,2t9re
5,4,Hancock_Participant13_12042017,2t9re
5,5,Hancock_Participant13_12042017,2t9re
3,6,Hancock_Participant13_12042017,2t9re
4,7,Hancock_Participant13_12042017,2t9re
4,8,Hancock_Participant13_12042017,2t9re
2,9,Hancock_Participant13_12042017,2t9re
2,1,Hancock_Participant14_13042017,2t9re
4,2,Hancock_Participant14_13042017,2t9re
4,3,Hancock_Participant14_13042017,2t9re
5,4,Hancock_Participant14_13042017,2t9re
3,5,Hancock_Participant14_13042017,2t9re
3,6,Hancock_Participant14_13042017,2t9re
2,7,Hancock_Participant14_13042017,2t9re
2,8,Hancock_Participant14_13042017,2t9re
1,9,Hancock_Participant14_13042017,2t9re
2,1,Hancock_Participant15_14042017,2t9re
3,2,Hancock_Participant15_14042017,2t9re
3,3,Hancock_Participant15_14042017,2t9re
